date,country_code,device_code,app_id,product_id,category_id,category_name,store_product_rank_free,store_product_rank_paid,store_product_rank_grossing,store_product_rank_new_free,store_product_rank_new_paid,app_name,product_name,company_name,publisher_name,market_code
2025-02-16,US,android-all,com.scopely.monopolygo,20600016782714,all,Game / Board,47,,2,,,MONOPOLY GO!,MONOPOLY GO!,Scopely,Scopely,google-play
2025-02-17,US,android-all,com.scopely.monopolygo,20600016782714,all,Game / Board,49,,2,,,MONOPOLY GO!,MONOPOLY GO!,Scopely,Scopely,google-play
2025-02-18,US,android-all,com.scopely.monopolygo,20600016782714,all,Game / Board,53,,2,,,MONOPOLY GO!,MONOPOLY GO!,Scopely,Scopely,google-play
2025-02-19,US,android-all,com.scopely.monopolygo,20600016782714,all,Game / Board,59,,2,,,MONOPOLY GO!,MONOPOLY GO!,Scopely,Scopely,google-play
2025-02-20,US,android-all,com.scopely.monopolygo,20600016782714,all,Game / Board,70,,2,,,MONOPOLY GO!,MONOPOLY GO!,Scopely,Scopely,google-play
2025-02-21,US,android-all,com.scopely.monopolygo,20600016782714,all,Game / Board,72,,2,,,MONOPOLY GO!,MONOPOLY GO!,Scopely,Scopely,google-play
2025-02-22,US,android-all,com.scopely.monopolygo,20600016782714,all,Game / Board,82,,2,,,MONOPOLY GO!,MONOPOLY GO!,Scopely,Scopely,google-play
2025-02-23,US,android-all,com.scopely.monopolygo,20600016782714,all,Game / Board,81,,2,,,MONOPOLY GO!,MONOPOLY GO!,Scopely,Scopely,google-play
2025-02-24,US,android-all,com.scopely.monopolygo,20600016782714,all,Game / Board,82,,2,,,MONOPOLY GO!,MONOPOLY GO!,Scopely,Scopely,google-play
2025-02-25,US,android-all,com.scopely.monopolygo,20600016782714,all,Game / Board,81,,2,,,MONOPOLY GO!,MONOPOLY GO!,Scopely,Scopely,google-play
2025-02-26,US,android-all,com.scopely.monopolygo,20600016782714,all,Game / Board,88,,3,,,MONOPOLY GO!,MONOPOLY GO!,Scopely,Scopely,google-play
2025-02-27,US,android-all,com.scopely.monopolygo,20600016782714,all,Game / Board,86,,2,,,MONOPOLY GO!,MONOPOLY GO!,Scopely,Scopely,google-play
2025-02-28,US,android-all,com.scopely.monopolygo,20600016782714,all,Game / Board,89,,2,,,MONOPOLY GO!,MONOPOLY GO!,Scopely,Scopely,google-play
